,0,1,2,3
0,17/07/2021 10:00 a.m.,"23,89","97,30","0,40"
1,17/07/2021 09:00 a.m.,"23,05","99,50","7,40"
2,17/07/2021 08:00 a.m.,"23,08","98,50","16,40"
3,17/07/2021 07:00 a.m.,"22,92","97,50","0,00"
4,17/07/2021 06:00 a.m.,"22,84","98,20","0,00"
5,17/07/2021 05:00 a.m.,"22,90","98,70","0,20"
6,17/07/2021 04:00 a.m.,"22,99","98,40","0,80"
7,17/07/2021 03:00 a.m.,"23,26","98,10","8,60"
8,17/07/2021 02:00 a.m.,"23,60","97,20","2,20"
9,17/07/2021 01:00 a.m.,"24,25","94,20","0,00"
10,17/07/2021 12:00 a.m.,"24,60","93,50","0,00"
11,16/07/2021 11:00 p.m.,"24,78","94,60","0,00"
12,16/07/2021 10:00 p.m.,"25,13","92,80","0,00"
13,16/07/2021 09:00 p.m.,"25,55","93,20","0,00"
14,16/07/2021 08:00 p.m.,"25,86","91,50","0,00"
15,16/07/2021 07:00 p.m.,"26,96","84,30","0,00"
16,16/07/2021 06:00 p.m.,"28,32","76,93","0,00"
17,16/07/2021 05:00 p.m.,"29,48","70,39","0,00"
18,16/07/2021 04:00 p.m.,"30,05","66,96","0,00"
19,16/07/2021 03:00 p.m.,"31,48","63,18","0,00"
20,16/07/2021 02:00 p.m.,"31,74","61,48","0,00"
21,16/07/2021 01:00 p.m.,"31,68","61,84","0,00"
22,16/07/2021 12:00 p.m.,"31,58","61,31","0,00"
23,16/07/2021 11:00 a.m.,"31,39","62,07","0,00"
24,16/07/2021 10:00 a.m.,"30,85","65,12","0,00"
